A,B,C,D,E,Treatment,Outcome
0.24671415301123267,0.6967141530112326,-0.19328584698876727,1.0,1.3967141530112328,1,11.450356147584245
-0.38826430117118466,0.061735698828815355,-0.8282643011711845,0.0,0.7617356988288153,0,1.688017741216115
0.3976885381006925,0.8476885381006924,-0.042311461899307456,0.0,1.5476885381006924,1,12.582664035755192
1.2730298564080254,1.7230298564080253,0.8330298564080254,1.0,2.4230298564080255,1,19.14772392306019
-0.48415337472333597,-0.03415337472333596,-0.9241533747233359,1.0,0.665846625276664,1,5.96884968957498
-0.4841369569491806,-0.034136956949180536,-0.9241369569491805,1.0,0.6658630430508194,0,0.9689728228811457
1.3292128155073915,1.7792128155073914,0.8892128155073915,1.0,2.4792128155073914,1,19.569096116305435
0.5174347291529088,0.9674347291529088,0.07743472915290883,0.0,1.6674347291529088,1,13.480760468646816
-0.7194743859349522,-0.2694743859349521,-1.1594743859349521,1.0,0.4305256140650479,0,-0.7960578945121407
0.29256004358596466,0.7425600435859647,-0.1474399564140353,1.0,1.4425600435859647,1,11.794200326894734
-0.7134176928124623,-0.26341769281246225,-1.1534176928124622,1.0,0.43658230718753777,0,-0.7506326960934666
-0.7157297535702569,-0.26572975357025685,-1.1557297535702569,0.0,0.43427024642974316,0,-0.7679731517769267
-0.008037728433965885,0.4419622715660341,-0.44803772843396583,0.0,1.141962271566034,1,9.539717036745255
-2.163280244657798,-1.713280244657798,-2.603280244657798,1.0,-1.013280244657798,0,-11.624601834933484
-1.9749178325130328,-1.5249178325130328,-2.4149178325130327,1.0,-0.8249178325130327,0,-10.211883743847745
-0.8122875292409727,-0.3622875292409727,-1.2522875292409728,1.0,0.33771247075902733,0,-1.492156469307295
-1.2628311203344238,-0.8128311203344238,-1.7028311203344237,1.0,-0.11283112033442377,0,-4.871233402508179
0.06424733259527388,0.5142473325952739,-0.37575266740472607,1.0,1.2142473325952738,1,10.081854994464555
-1.1580240755212108,-0.7080240755212108,-1.5980240755212107,1.0,-0.008024075521210872,0,-4.085180566409081
-1.6623037013352915,-1.2123037013352915,-2.102303701335291,1.0,-0.5123037013352915,0,-7.867277760014686
